band_um,N_detect,median_z,median_log10LIR,median_log10SFR_pop,median_log10LIR_over_log10F,sigma_mad_log10LIR_over_log10F,spearman_rho_ratio_vs_z
250,5896,1.0281115174293518,11.508166485974199,1.257558822631836,10.443902925967144,0.585256242868885,0.7492615660429679
350,3787,1.1668633222579956,11.615221307543502,1.334078311920166,10.558027117417767,0.5371877558609827,0.6763147194292646
500,1603,1.3167556524276733,11.67832374522094,1.364060878753662,10.68081394931407,0.5585109128848823,0.654178835471409
850,588,1.6552720069885254,11.914647987011556,1.5545458793640137,11.367593444063353,0.5219396171006742,0.6256654479760743
