regime,model_family,model_key,model_label,T_dust_K,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log
resolved/prior counts,modified blackbody,mbb_T40,MBB 40 K,40.0,122,1609.8869112264183,-0.4260536041668092,13.195794354314906
resolved/prior counts,empirical template,aless,ALESS,,123,1748.9018249343153,-0.459955433078105,14.218714023856222
resolved/prior counts,Casey-like template,casey_T30_a15,Casey T30K a=1.5,30.0,123,1795.709587589949,-0.4498191375460477,14.599264939755685
resolved/prior counts,Casey-like template,casey_T35_a20,Casey T35K a=2.0,35.0,123,2063.5061127171143,-0.525462912487187,16.77647246111475
resolved/prior counts,Casey-like template,casey_T40_a30,Casey T40K a=3.0,40.0,123,2299.832433138464,-0.5619184119415307,18.697824659662302
resolved/prior counts,modified blackbody,mbb_T25,MBB 25 K,25.0,122,2603.728572532877,0.4701261348445824,21.34203747977768
resolved/prior counts,Casey-like template,casey_T40_a25,Casey T40K a=2.5,40.0,123,2802.347751020244,-0.6254372491869338,22.783315048945067
resolved/prior counts,modified blackbody,mbb_T45,MBB 45 K,45.0,122,3079.071506528181,-0.6473699679447343,25.23829103711624
resolved/prior counts,Casey-like template,casey_T35_a15,Casey T35K a=1.5,35.0,123,3302.3148036931984,-0.7688800076192208,26.848087834904053
resolved/prior counts,Casey-like template,casey_T40_a20,Casey T40K a=2.0,40.0,123,3595.6769913326816,-0.7998229845172755,29.233146270997413
resolved/prior counts,Casey-like template,casey_T45_a30,Casey T45K a=3.0,45.0,122,3809.1014580689375,-0.7744627791643772,31.22214309892572
resolved/prior counts,Casey-like template,casey_T45_a25,Casey T45K a=2.5,45.0,122,4264.830481171895,-0.8947942629608789,34.9576268948516
resolved/prior counts,modified blackbody,mbb_T50,MBB 50 K,50.0,120,4418.642346808871,-1.013780749482296,36.822019556740585
resolved/prior counts,Casey-like template,casey_T40_a15,Casey T40K a=1.5,40.0,122,4680.5018125088345,-1.0148545348535984,38.364768954990446
resolved/prior counts,Casey-like template,casey_T45_a20,Casey T45K a=2.0,45.0,120,4850.291369535735,-1.0687793777229522,40.41909474613112
resolved/prior counts,Casey-like template,casey_T45_a15,Casey T45K a=1.5,45.0,120,5602.843161158791,-1.1263175732416042,46.69035967632326
resolved/prior counts,modified blackbody,mbb_T20,MBB 20 K,20.0,123,5996.872402529605,0.7817942536322081,48.75506018316752
