group,N,N_starburst,starburst_frac,starburst_sfr_share,delta_ms_median,delta_ms_sigma,z_median,log10M_median
binA_1<=z<2_9<=logM<=11.5__all_matched,37149,8,0.00021534899997308136,0.002627565716105954,-0.4221436233853524,0.3418213321913779,1.4341338872909546,10.182154655456543
binA_1<=z<2_9<=logM<=11.5__long_detect_spire_scuba_snr3,2673,2,0.0007482229704451926,0.002761120494045732,-0.2826085656067052,0.3390488751177723,1.4280976057052612,10.742480278015137
binA_1<=z<2_9<=logM<=11.5__not_long_detect_spire_scuba_snr3,34476,6,0.0001740341106856944,0.002595739044988107,-0.43165366877372735,0.3392633125299116,1.4346507489681244,10.142872333526611
binB_1.5<=z<2.5_logM>=10__all_matched,15807,3,0.0001897893338394382,0.00169484640175237,-0.33050942523532534,0.3339891455656399,1.8931909203529358,10.408814430236816
binB_1.5<=z<2.5_logM>=10__long_detect_spire_scuba_snr3,1494,0,0.0,0.0,-0.2791625260006372,0.3246325655344326,1.8317627310752869,10.73105001449585
binB_1.5<=z<2.5_logM>=10__not_long_detect_spire_scuba_snr3,14313,3,0.00020959966464053657,0.002056836832635737,-0.3349728937247276,0.3337402389345007,1.901096522808075,10.377014636993408
