SFR_cut,N,median_z,median_log10LIR,median_dust2_pop,median_lnfAGN_pop,median_fAGN_pop,N_fAGN_gt_0p1,N_fAGN_gt_0p3,median_F250_fsps_mjy,median_F350_fsps_mjy,median_F500_fsps_mjy,median_F850_fsps_mjy
300,84,2.9390754103660583,12.821966893531219,0.9738328158855438,-2.3962042331695557,0.09199442780138843,42,33,7.179987987056933,16.605549097829886,28.711365735368705,22.84134473772749
500,19,2.578284502029419,13.135737640795528,0.7579097747802734,-0.720299243927002,0.486606620094832,11,10,16.505153706476033,37.90970427486252,57.13090850951284,42.87433284728629
1000,5,2.578284502029419,13.192469209612147,0.6783188581466675,-0.720299243927002,0.486606620094832,3,3,9.274804994054655,21.392666901842677,34.07994713403746,45.695540398319096
