band_um,flux_cut_mjy,N_fsps_lirnorm_per_deg2,N_resthybrid25_per_deg2,N_resthybrid50_per_deg2,N_resthybrid75_per_deg2,N_aless_per_deg2,N_wang_raw_per_deg2
250,10,5190.923317683881,4505.477308294209,3788.7323943661972,3072.769953051643,2527.3865414710485,3011.737089201878
250,20,1724.5696400625977,1307.511737089202,932.7073552425665,643.1924882629108,444.44444444444446,848.9827856025039
250,50,236.30672926447573,154.92957746478874,91.54929577464789,57.12050078247261,38.341158059467915,36.77621283255086
250,100,36.77621283255086,27.386541471048513,19.561815336463223,11.737089201877934,7.04225352112676,1.5649452269170578
350,10,5130.672926447574,4021.909233176839,2903.755868544601,1974.960876369327,1266.8231611893584,2041.471048513302
350,20,1333.3333333333333,905.320813771518,561.0328638497652,312.98904538341156,206.57276995305165,476.5258215962441
350,50,120.50078247261345,78.24726134585289,47.73082942097027,33.64632237871675,18.779342723004696,9.389671361502348
350,100,25.039123630672925,17.214397496087635,8.607198748043817,5.477308294209703,3.912363067292645,0.0
500,10,2876.3693270735525,1964.7887323943662,1229.264475743349,681.5336463223787,385.75899843505476,797.339593114241
500,20,523.4741784037559,327.07355242566507,206.57276995305165,114.24100156494522,60.250391236306726,115.02347417840376
500,50,46.948356807511736,31.29890453834116,18.779342723004696,10.172143974960877,8.607198748043817,0.7824726134585289
500,100,8.607198748043817,3.912363067292645,3.1298904538341157,0.7824726134585289,0.7824726134585289,0.0
