model_label,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log
50% ALESS,188,843.1010475089795,-0.04447009799400457,4.48458003994138
25% ALESS,188,851.3514794408909,0.12607948699997745,4.528465316174952
75% ALESS,188,1562.128554470438,-0.2000029289269188,8.309194438672543
FSPS,188,1839.016870741419,0.32732316801032135,9.782004631603293
ALESS,188,2529.103089269268,-0.3671658781233516,13.452676006751425
