external_source,source_short,count_regime,best_model_family,best_model_label,best_reduced_chi2,best_median_log10_model_over_obs,fsps_reduced_chi2,fsps_over_best_chi2_ratio,casey_T30_a25_reduced_chi2,casey_T30_a30_reduced_chi2,N_points_best
Clements et al. / Table 1,Clements,resolved/prior,Casey-like template,Casey T30K a=3.0,2.238833748311696,0.1083745615905487,12.349010152277884,5.515822763342866,2.7659313779194568,2.238833748311696,68
Oliver et al. / Table 2,Oliver,resolved/prior,Casey-like template,Casey T30K a=2.5,0.4130634535947621,0.0775848012400175,3.4621963898236734,8.381754327799424,0.4130634535947621,0.7067561131716287,30
Pearson et al. / Table 3 SUSSEXtractor,Pearson SUSSEX,resolved/prior,FSPS/ALESS hybrid,25% ALESS,5.492397426480173,0.0549491260279381,8.203750575747097,1.49365567323931,6.451209481305124,6.216909078754279,88
Pearson et al. / Table 4 XID,Pearson XID,resolved/prior,FSPS/ALESS hybrid,25% ALESS,1.0699567123463605,-0.0150951885442942,2.062415512573229,1.927569114502265,1.94153308942995,1.4325689017211811,58
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn P(D),P(D),Casey-like template,Casey T30K a=2.5,2.152069275994231,0.1438325532760379,12.148241068459129,5.644911715421792,2.152069275994231,3.4328944420897005,22
Varnish et al. / Table 4 P(D) best-fit spline,Varnish P(D),P(D),modified blackbody,MBB 35 K,2.140571538283483,-0.0903877045223306,14.194622842042316,6.63123029909336,2.1844585667581238,5.06262316140638,30
