band_um,model,flux_mjy,bin_min_mjy,bin_max_mjy,N_bin,euclidean_jy15_deg2,euclidean_err_jy15_deg2
250,fsps_lirnorm,5.9658317923524695,5.000000000000001,7.118229794928693,4909,4.985016684973355,0.07114921293317972
250,fsps_lirnorm,8.493232323171238,7.118229794928693,10.133839082682117,3833,6.61173445724643,0.10679378849901468
250,fsps_lirnorm,12.091355875609787,10.133839082682117,14.426999059072134,2647,7.755923639005439,0.15074973380346196
250,fsps_lirnorm,17.21380993097034,14.426999059072134,20.5389389107391,1744,8.68018664064256,0.20785277312582326
250,fsps_lirnorm,24.5063709469745,20.5389389107391,29.240177382128667,1081,9.139265129473527,0.27797032150262496
250,fsps_lirnorm,34.888395968065744,29.240177382128667,41.62766037009365,555,7.970426570630974,0.3383257658173441
250,fsps_lirnorm,49.66872393543112,41.62766037009365,59.26305046791458,269,6.562115370014496,0.4000992355034999
250,fsps_lirnorm,70.71067811865476,59.26305046791458,84.36960231581453,133,5.511200638717551,0.47788170178796874
250,fsps_lirnorm,100.66697116076413,84.36960231581453,120.11244339814311,32,2.252410581858071,0.3981736991120447
250,fsps_lirnorm,143.3141266963557,120.11244339814311,170.99759466766963,15,1.7934605961459265,0.46306953473015994
250,fsps_lirnorm,204.02857733683695,170.99759466766963,243.4400346449093,13,2.640261434290219,0.7322767678433446
250,fsps_lirnorm,290.4644596431972,243.4400346449093,346.5724215775732,5,1.7249502888720156,0.7714212207451452
250,fsps_lirnorm,413.5185542000137,346.5724215775732,493.39642747481366,0,,
250,fsps_lirnorm,588.7040186524744,493.39642747481366,702.4218301525182,1,0.9954342477801108,0.9954342477801109
250,fsps_lirnorm,838.10609719326,702.4218301525182,1000.0,0,,
250,resthybrid25,5.9658317923524695,5.000000000000001,7.118229794928693,5132,5.211469877222095,0.07274730482132792
250,resthybrid25,8.493232323171238,7.118229794928693,10.133839082682117,3776,6.513412290780725,0.10599675661323198
