band_um,alpha,old_flux_mix_col,new_restframe_col,N,median_frac_change,p16_frac_change,p84_frac_change,max_abs_frac_change
250,0.25,F250_hybrid25_mjy,F250_resthybrid25_mjy,429669,5.041869063030988e-06,2.4485430293253594e-06,9.985072570345597e-06,2.91788483112872e-05
250,0.5,F250_hybrid50_mjy,F250_resthybrid50_mjy,429669,3.0892139861371085e-06,1.628111069971709e-06,6.721384157144064e-06,2.0616335395286323e-05
250,0.75,F250_hybrid75_mjy,F250_resthybrid75_mjy,429669,1.7560015636889451e-06,7.836690601476111e-07,3.4970339528919516e-06,1.1963200930060568e-05
350,0.25,F350_hybrid25_mjy,F350_resthybrid25_mjy,429669,5.493546203724794e-06,2.7566285832899326e-06,1.1334363595579116e-05,3.085171040484845e-05
350,0.5,F350_hybrid50_mjy,F350_resthybrid50_mjy,429669,4.063191069908035e-06,2.1833084132028164e-06,8.569862930236548e-06,2.2121094009790292e-05
350,0.75,F350_hybrid75_mjy,F350_resthybrid75_mjy,429669,2.329761687758801e-06,1.2022672279467037e-06,5.07540946088287e-06,1.3536514743203916e-05
500,0.25,F500_hybrid25_mjy,F500_resthybrid25_mjy,429669,5.846170475490099e-06,2.8892018842711304e-06,1.2098771411342334e-05,3.19917800978814e-05
500,0.5,F500_hybrid50_mjy,F500_resthybrid50_mjy,429669,4.816548238620841e-06,2.5040217158814574e-06,9.777191563292069e-06,2.3706310881517442e-05
500,0.75,F500_hybrid75_mjy,F500_resthybrid75_mjy,429669,3.1482379530015362e-06,1.727968878407128e-06,6.377019794681375e-06,1.4828821755650874e-05
