dataset,group,N,N_starburst,starburst_frac,starburst_sfr_share,delta_ms_median,delta_ms_sigma,z_median,log10M_median
pop-cosmos (on matched IDs),binA_1<=z<2_9<=logM<=11.5,107628,9,8.362136247073252e-05,0.0020216135974831643,-0.5978668324296827,0.36817468942756815,1.424398958683014,9.578844785690308
pop-cosmos (on matched IDs),binB_1.5<=z<2.5_logM>=10,19300,3,0.000155440414507772,0.0015590759190841925,-0.3677379385858024,0.3554675801595887,1.8884432315826416,10.351850509643555
COSMOS2020 LePhare (lp_*),binA_1<=z<2_9<=logM<=11.5,74991,3743,0.04991265618540892,0.2849980407770132,-0.11125463915777739,0.40171428670292875,1.4628,9.54781
COSMOS2020 LePhare (lp_*),binB_1.5<=z<2.5_logM>=10,14360,477,0.03321727019498607,0.1940830385254834,-0.2568431379766478,0.4864040399482517,1.9252,10.409600000000001
COSMOS2020 EAZY (ez_*),binA_1<=z<2_9<=logM<=11.5,92295,227,0.0024595048485833468,0.04625283047143539,-0.4891820540357288,0.41671221079974236,1.432771,9.659993
COSMOS2020 EAZY (ez_*),binB_1.5<=z<2.5_logM>=10,21377,178,0.008326706273097255,0.06226655695090227,-0.3789745491259653,0.429014113185724,1.916419,10.436245
