external_source,model_uid,model,model_label,model_family,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log
Oliver et al. / Table 2,casey::casey_T30_a15,casey_T30_a15,Casey T30K a=1.5,Casey-like template,30,100.43753213326065,-0.3454403049352471,3.347917737775355
Pearson et al. / Table 4 XID,casey::casey_T25_a15,casey_T25_a15,Casey T25K a=1.5,Casey-like template,58,194.9659001015239,-0.2698139934526857,3.361481036233171
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T30_a30,casey_T30_a30,Casey T30K a=3.0,Casey-like template,22,75.52367772597341,0.2469426964144651,3.4328944420897005
Oliver et al. / Table 2,hybrid::fsps_lirnorm,fsps_lirnorm,FSPS,baseline,30,103.8658916947102,0.4220915407713782,3.4621963898236734
Pearson et al. / Table 4 XID,mbb::mbb_T35,mbb_T35,MBB 35 K,modified blackbody,58,208.63834263224453,-0.2762134019509745,3.597212804004216
Varnish et al. / Table 4 P(D) best-fit spline,hybrid::resthybrid50,resthybrid50,50% ALESS,FSPS/ALESS hybrid,30,110.97920355929249,-0.0361198642145513,3.6993067853097497
Oliver et al. / Table 2,casey::casey_T35_a20,casey_T35_a20,Casey T35K a=2.0,Casey-like template,30,113.20523271864327,-0.5322938611464083,3.773507757288109
Glenn et al. / Table 4 P(D) spline no FIRAS,mbb::mbb_T35,mbb_T35,MBB 35 K,modified blackbody,22,85.0294642201851,-0.0012036280403372,3.8649756463720504
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T25_a15,casey_T25_a15,Casey T25K a=1.5,Casey-like template,22,86.33341906968093,0.0587646146373195,3.924246321349133
Varnish et al. / Table 4 P(D) best-fit spline,hybrid::resthybrid75,resthybrid75,75% ALESS,FSPS/ALESS hybrid,30,125.43260339101,-0.1574946795961996,4.181086779700333
Oliver et al. / Table 2,casey::casey_T40_a30,casey_T40_a30,Casey T40K a=3.0,Casey-like template,30,129.10190606296368,-0.5402458771079853,4.303396868765456
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T30_a20,casey_T30_a20,Casey T30K a=2.0,Casey-like template,22,96.23430718899911,-0.1534385707890994,4.3742866904090505
Glenn et al. / Table 4 P(D) spline no FIRAS,hybrid::resthybrid50,resthybrid50,50% ALESS,FSPS/ALESS hybrid,22,96.67970860414539,0.088711848998917,4.394532209279336
Clements et al. / Table 1,hybrid::resthybrid50,resthybrid50,50% ALESS,FSPS/ALESS hybrid,70,312.23409320915374,0.042429134826337,4.460487045845054
Clements et al. / Table 1,hybrid::resthybrid25,resthybrid25,25% ALESS,FSPS/ALESS hybrid,70,325.0974917062619,0.1580407170936688,4.644249881518027
Pearson et al. / Table 4 XID,casey::casey_T30_a20,casey_T30_a20,Casey T30K a=2.0,Casey-like template,58,269.6396309389047,-0.3381974465360531,4.648959154119047
Oliver et al. / Table 2,casey::casey_T25_a30,casey_T25_a30,Casey T25K a=3.0,Casey-like template,30,148.06458796114913,0.5227769715841615,4.935486265371638
Clements et al. / Table 1,casey::casey_T25_a20,casey_T25_a20,Casey T25K a=2.0,Casey-like template,68,337.6183394169168,0.1469484566820876,4.964975579660541
Pearson et al. / Table 4 XID,casey::casey_T25_a30,casey_T25_a30,Casey T25K a=3.0,Casey-like template,58,289.68149039939726,0.2613595831713532,4.994508455162022
Varnish et al. / Table 4 P(D) best-fit spline,casey::casey_T30_a30,casey_T30_a30,Casey T30K a=3.0,Casey-like template,30,151.8786948421914,0.081603536526482,5.06262316140638
Pearson et al. / Table 4 XID,hybrid::wang_snr3,wang_snr3,Wang raw SNR>=3,FSPS/ALESS hybrid,58,302.03353559961397,-0.3189923952498397,5.207474751717482
Varnish et al. / Table 4 P(D) best-fit spline,casey::casey_T35_a25,casey_T35_a25,Casey T35K a=2.5,Casey-like template,30,159.22594735984842,-0.2695574907935751,5.307531578661614
Glenn et al. / Table 4 P(D) spline no FIRAS,hybrid::wang_snr3,wang_snr3,Wang raw SNR>=3,FSPS/ALESS hybrid,14,75.12833283011027,-0.231990291781947,5.366309487865019
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T35_a30,casey_T35_a30,Casey T35K a=3.0,Casey-like template,22,119.25993904973114,-0.1880511611825797,5.420906320442325
Pearson et al. / Table 3 SUSSEXtractor,hybrid::resthybrid25,resthybrid25,25% ALESS,FSPS/ALESS hybrid,88,483.3309735302552,0.0549491260279381,5.492397426480173
Oliver et al. / Table 2,casey::casey_T40_a25,casey_T40_a25,Casey T40K a=2.5,Casey-like template,30,171.65352416180116,-0.5708741562817332,5.721784138726705
Clements et al. / Table 1,mbb::mbb_T30,mbb_T30,MBB 30 K,modified blackbody,68,404.41044238603894,0.2916213824999792,5.9472123880299845
Varnish et al. / Table 4 P(D) best-fit spline,hybrid::wang_snr3,wang_snr3,Wang raw SNR>=3,FSPS/ALESS hybrid,20,119.67104116870073,-0.3154213109941721,5.983552058435036
Oliver et al. / Table 2,mbb::mbb_T45,mbb_T45,MBB 45 K,modified blackbody,30,183.80906578805164,-0.6294347542520387,6.126968859601721
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T25_a20,casey_T25_a20,Casey T25K a=2.0,Casey-like template,22,136.76952885300972,0.4046382801208598,6.2167967660458965
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T30_a30,casey_T30_a30,Casey T30K a=3.0,Casey-like template,88,547.0879989303766,-0.0039207876575728,6.216909078754279
Varnish et al. / Table 4 P(D) best-fit spline,hybrid::resthybrid25,resthybrid25,25% ALESS,FSPS/ALESS hybrid,30,191.7339394438372,0.1260794869999774,6.391131314794573
Clements et al. / Table 1,casey::casey_T25_a15,casey_T25_a15,Casey T25K a=1.5,Casey-like template,70,448.0400056085898,-0.0384577806363976,6.40057150869414
Varnish et al. / Table 4 P(D) best-fit spline,mbb::mbb_T40,mbb_T40,MBB 40 K,modified blackbody,30,193.0271122236053,-0.3573853007187336,6.434237074120176
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T30_a25,casey_T30_a25,Casey T30K a=2.5,Casey-like template,88,567.7064343548509,-0.1335549426916749,6.451209481305124
