external_source,model_uid,model,model_label,model_family,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log
Clements et al. / Table 1,casey::casey_T45_a15,casey_T45_a15,Casey T45K a=1.5,Casey-like template,66,1715.054557268791,-1.047250761675329,25.985675110133197
Pearson et al. / Table 4 XID,casey::casey_T40_a25,casey_T40_a25,Casey T40K a=2.5,Casey-like template,58,1542.925528296402,-0.8583171876483855,26.60216428097245
Varnish et al. / Table 4 P(D) best-fit spline,mbb::mbb_T50,mbb_T50,MBB 50 K,modified blackbody,28,745.6455739423484,-0.9499180147004708,26.630199069369585
Varnish et al. / Table 4 P(D) best-fit spline,mbb::mbb_T25,mbb_T25,MBB 25 K,modified blackbody,30,822.9972998831086,0.6269301248895275,27.43324332943695
Glenn et al. / Table 4 P(D) spline no FIRAS,mbb::mbb_T25,mbb_T25,MBB 25 K,modified blackbody,22,625.3157303964808,0.7715859282248888,28.42344229074913
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T40_a20,casey_T40_a20,Casey T40K a=2.0,Casey-like template,22,631.8647981711737,-0.6664471112826362,28.721127189598803
Varnish et al. / Table 4 P(D) best-fit spline,casey::casey_T45_a20,casey_T45_a20,Casey T45K a=2.0,Casey-like template,28,822.8581329776546,-1.0229997924494916,29.387790463487665
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T40_a25,casey_T40_a25,Casey T40K a=2.5,Casey-like template,88,2598.961760583873,-0.7184388553840911,29.533656370271284
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T45_a30,casey_T45_a30,Casey T45K a=3.0,Casey-like template,22,683.1886902806582,-0.6457336589698652,31.054031376393553
Pearson et al. / Table 4 XID,casey::casey_T35_a15,casey_T35_a15,Casey T35K a=1.5,Casey-like template,58,1801.583881074768,-0.931433108695184,31.06179105301324
Pearson et al. / Table 4 XID,mbb::mbb_T45,mbb_T45,MBB 45 K,modified blackbody,58,1819.0310708480993,-0.9657603519288772,31.362604669794816
Pearson et al. / Table 3 SUSSEXtractor,mbb::mbb_T45,mbb_T45,MBB 45 K,modified blackbody,88,2867.203847293426,-0.8160817746374843,32.58186190106166
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T35_a15,casey_T35_a15,Casey T35K a=1.5,Casey-like template,88,3071.397300184157,-0.8473213617977662,34.90224204754724
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T45_a25,casey_T45_a25,Casey T45K a=2.5,Casey-like template,22,779.777560092269,-0.7095352158945183,35.44443454964859
Clements et al. / Table 1,mbb::mbb_T25,mbb_T25,MBB 25 K,modified blackbody,68,2428.0700893439475,0.6976525024260785,35.70691307858746
Glenn et al. / Table 4 P(D) spline no FIRAS,mbb::mbb_T50,mbb_T50,MBB 50 K,modified blackbody,22,788.9359308197827,-0.7821447837545339,35.86072412817194
Pearson et al. / Table 4 XID,casey::casey_T40_a20,casey_T40_a20,Casey T40K a=2.0,Casey-like template,58,2084.0577598467808,-1.0100122044663566,35.932030342185875
Varnish et al. / Table 4 P(D) best-fit spline,casey::casey_T45_a15,casey_T45_a15,Casey T45K a=1.5,Casey-like template,28,1030.8572995346126,-1.193753701485436,36.81633212623616
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T40_a20,casey_T40_a20,Casey T40K a=2.0,Casey-like template,88,3322.823061526228,-0.9493117406152564,37.75935297188895
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T40_a15,casey_T40_a15,Casey T40K a=1.5,Casey-like template,22,851.8013090833422,-0.8504611826788001,38.7182413219701
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T45_a30,casey_T45_a30,Casey T45K a=3.0,Casey-like template,88,3512.0747724944017,-0.9701397732135986,39.90994059652729
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T45_a20,casey_T45_a20,Casey T45K a=2.0,Casey-like template,22,880.2538675508912,-0.8544178192805207,40.011539434131414
Pearson et al. / Table 4 XID,casey::casey_T45_a30,casey_T45_a30,Casey T45K a=3.0,Casey-like template,58,2326.968292181925,-1.0669282849174555,40.12014296865388
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T45_a25,casey_T45_a25,Casey T45K a=2.5,Casey-like template,88,3931.6195348947185,-1.1072035934736415,44.67749471471271
Pearson et al. / Table 3 SUSSEXtractor,mbb::mbb_T20,mbb_T20,MBB 20 K,modified blackbody,88,3981.416431328219,0.7508024103016784,45.24336853782067
Pearson et al. / Table 4 XID,casey::casey_T45_a25,casey_T45_a25,Casey T45K a=2.5,Casey-like template,58,2660.545434705804,-1.2030957847418684,45.871473012169034
Pearson et al. / Table 3 SUSSEXtractor,mbb::mbb_T50,mbb_T50,MBB 50 K,modified blackbody,88,4054.359159349473,-1.1844607211944704,46.07226317442583
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T45_a15,casey_T45_a15,Casey T45K a=1.5,Casey-like template,22,1020.2390378211035,-0.9847952249624976,46.374501719141065
Pearson et al. / Table 4 XID,mbb::mbb_T50,mbb_T50,MBB 50 K,modified blackbody,58,2844.065789474087,-1.2878519121335534,49.03561705989805
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T40_a15,casey_T40_a15,Casey T40K a=1.5,Casey-like template,88,4350.385781329296,-1.114095231127863,49.436202060560184
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T45_a20,casey_T45_a20,Casey T45K a=2.0,Casey-like template,88,4472.829461832384,-1.1896401050209862,50.827607520822546
Pearson et al. / Table 4 XID,casey::casey_T40_a15,casey_T40_a15,Casey T40K a=1.5,Casey-like template,58,2966.8232571972912,-1.2812289470002218,51.15212512409123
Pearson et al. / Table 4 XID,casey::casey_T45_a20,casey_T45_a20,Casey T45K a=2.0,Casey-like template,58,3176.366769346641,-1.3562850807022464,54.764944299080014
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T45_a15,casey_T45_a15,Casey T45K a=1.5,Casey-like template,88,5249.772793034934,-1.378429074445077,59.65650901176061
Glenn et al. / Table 4 P(D) spline no FIRAS,mbb::mbb_T20,mbb_T20,MBB 20 K,modified blackbody,22,1378.4168837634343,1.1781603246700727,62.65531289833792
Pearson et al. / Table 4 XID,casey::casey_T45_a15,casey_T45_a15,Casey T45K a=1.5,Casey-like template,58,3834.044507776861,-1.6551759620266018,66.10421565132519
Varnish et al. / Table 4 P(D) best-fit spline,mbb::mbb_T20,mbb_T20,MBB 20 K,modified blackbody,30,2235.3116992650175,0.974261840324086,74.51038997550059
Clements et al. / Table 1,mbb::mbb_T20,mbb_T20,MBB 20 K,modified blackbody,70,6341.236693490936,1.11122789925656,90.58909562129908
