group,N,median_z,median_log10M_pop,median_log10SFR_pop,median_log10LIR,median_dlogLIR_model_minus_k98_sal
all_matched,37149,1.4341338872909546,10.182154655456543,0.9039101600646973,11.176587100222772,0.504979118944739
long_detect,2673,1.4280976057052612,10.742480278015137,1.424736499786377,11.778545446729224,0.5996077365329526
not_long_detect,34476,1.4346507489681244,10.142872333526611,0.8622233867645264,11.130141679263485,0.4980676688606902
