band_um,model,model_label,N_points,chi2_log,reduced_chi2_log,median_log10_model_over_obs,rms_log10_model_over_obs,mean_abs_log10_model_over_obs,area_scenario,area_deg2,external_source
all,resthybrid25,25% ALESS,15,7.984011967594923,0.5322674645063282,0.09476142243554031,,,old_2deg2_counterfactual,2.0,Oliver et al. / Table 2
all,resthybrid50,50% ALESS,15,23.277793276026557,1.5518528850684372,-0.09249767924526403,,,old_2deg2_counterfactual,2.0,Oliver et al. / Table 2
all,resthybrid75,75% ALESS,15,52.62695627918014,3.5084637519453428,-0.3444882752094919,,,old_2deg2_counterfactual,2.0,Oliver et al. / Table 2
all,wang_raw,Wang raw,9,45.845260230154715,5.093917803350524,-0.45859437222180494,,,old_2deg2_counterfactual,2.0,Oliver et al. / Table 2
250,aless,ALESS,17,519.2678792286304,30.54516936639002,-0.6310208624083828,0.6303252784770245,0.5706232012583624,old_2deg2_counterfactual,2.0,Pearson et al. / Table 3 SUSSEXtractor
250,fsps_lirnorm,FSPS,17,31.6592377067736,1.862308100398447,-0.018239892071010178,0.13115369710376373,0.10918804280858774,old_2deg2_counterfactual,2.0,Pearson et al. / Table 3 SUSSEXtractor
250,resthybrid25,25% ALESS,17,72.96856870697036,4.292268747468845,-0.1395500158136616,0.2071977462834445,0.19308904711392105,old_2deg2_counterfactual,2.0,Pearson et al. / Table 3 SUSSEXtractor
250,resthybrid50,50% ALESS,17,176.27346426150746,10.369027309500439,-0.34870115822992326,0.3468517909062585,0.3204971757624866,old_2deg2_counterfactual,2.0,Pearson et al. / Table 3 SUSSEXtractor
250,resthybrid75,75% ALESS,17,342.87901552715454,20.169353854538503,-0.5596655501882436,0.5025924072339327,0.4512442841820868,old_2deg2_counterfactual,2.0,Pearson et al. / Table 3 SUSSEXtractor
250,wang_raw,Wang raw,17,255.93241501801515,15.054847942236185,-0.4362253414120265,0.5370107611937455,0.4483748878198917,old_2deg2_counterfactual,2.0,Pearson et al. / Table 3 SUSSEXtractor
350,aless,ALESS,15,580.3474077111283,38.68982718074189,-0.7171980197793778,0.7531299922619011,0.689520723254735,old_2deg2_counterfactual,2.0,Pearson et al. / Table 3 SUSSEXtractor
350,fsps_lirnorm,FSPS,15,72.264127206556,4.817608480437067,-0.012918227955963812,0.2484667359591026,0.16534990941202637,old_2deg2_counterfactual,2.0,Pearson et al. / Table 3 SUSSEXtractor
350,resthybrid25,25% ALESS,15,107.8405686343447,7.189371242289647,-0.1453857883292436,0.2957989939770698,0.2479469846247583,old_2deg2_counterfactual,2.0,Pearson et al. / Table 3 SUSSEXtractor
350,resthybrid50,50% ALESS,15,220.06588378442623,14.67105891896175,-0.3016576134530119,0.4221735420552058,0.37957920688640917,old_2deg2_counterfactual,2.0,Pearson et al. / Table 3 SUSSEXtractor
350,resthybrid75,75% ALESS,15,403.0414208251895,26.869428055012634,-0.5317078319987061,0.5926582334234484,0.5503280061961557,old_2deg2_counterfactual,2.0,Pearson et al. / Table 3 SUSSEXtractor
350,wang_raw,Wang raw,13,283.00342806976715,21.769494466905165,-0.5345517808497695,0.5989185027235452,0.526223287952982,old_2deg2_counterfactual,2.0,Pearson et al. / Table 3 SUSSEXtractor
500,aless,ALESS,12,300.87691955767383,25.073076629806152,-0.7198818229659831,0.7793687537069758,0.7032732534139782,old_2deg2_counterfactual,2.0,Pearson et al. / Table 3 SUSSEXtractor
500,fsps_lirnorm,FSPS,12,72.51145636540588,6.042621363783823,0.14336080497269632,0.33740998122436633,0.2569794477862262,old_2deg2_counterfactual,2.0,Pearson et al. / Table 3 SUSSEXtractor
500,resthybrid25,25% ALESS,12,59.03238738953632,4.9193656157946934,-0.06664409924715212,0.30553360334170415,0.2571381562337671,old_2deg2_counterfactual,2.0,Pearson et al. / Table 3 SUSSEXtractor
