sample,N,median_SFR_pop,median_log10LIR,median_fAGN_pop,peak_um_30_300,log10_nuLnu15_over_100
low SFR 0.1-1,1200,0.345937824612999,9.56201241168992,0.0683384166690899,135.5,-0.549714041701638
normal SFR 1-10,1200,3.346213283561835,10.663382254732731,0.3358452521752281,135.5,-0.19241107944546856
high SFR 30-300,1200,46.0346465010214,11.79939020729892,0.0675933416930527,135.5,-0.766993263549687
extreme SFR >1000,5,1058.3332490891346,13.192469209612147,0.486606620094832,135.5,-0.20868352741756646
low fAGN < 0.00512,1200,22.421561973514272,11.240569316787653,0.0026908137557263173,135.5,-1.0082127601063213
high fAGN > 1.14,1200,21.836048323208036,11.754055580487142,1.4194041308263214,33.42,0.26321126543791773
