external_source,paper,method_or_table,band_um,flux_mjy,flux_regime,model_label,observed_euclidean_jy15_deg2,model_euclidean_jy15_deg2,log10_model_over_obs,sigma_log,chi2_log
Clements et al. / Table 1,Clements et al.,Table 1,500,250.0,100-300 mJy,25% ALESS,0.0868159646392119,0.44285934921157605,0.7076662223189405,0.4194867409572767,2.845905381546716
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,250,19.5,10-30 mJy,25% ALESS,9.017507836501386,7.456708813011287,-0.08253934433019905,0.08976658090125568,0.8454592144533919
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,250,41.8,30-100 mJy,25% ALESS,3.8809737424406254,5.109905582687119,0.11947217117720199,0.09566171626304366,1.5597578352540187
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,250,89.3,30-100 mJy,25% ALESS,1.510527538139541,1.9273968832691855,0.10584250514358928,0.12653538006167026,0.6996748657631845
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,250,191.0,100-300 mJy,25% ALESS,0.0252687301851443,1.821394748961734,1.8578206620615239,0.34051345968364527,29.767270286755792
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,350,19.5,10-30 mJy,25% ALESS,4.831550557897798,6.3211415698129905,0.11670898859447654,0.10224019428997688,1.3030625960187388
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,350,41.8,30-100 mJy,25% ALESS,2.523136257402593,2.9777545502985285,0.07194819252319357,0.11156688461486348,0.41588108095051
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,350,89.3,30-100 mJy,25% ALESS,0.3069931232350126,1.454275161289093,0.6755179393040366,0.1755796699712044,14.802167585866334
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,350,191.0,100-300 mJy,25% ALESS,0.1454063651432898,0.27732111942676313,0.2803995264720517,0.4095889479280837,0.46866022092863163
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,500,15.5,10-30 mJy,25% ALESS,2.7341934931185707,3.3753752660051592,0.09149281822881572,0.11746865720591355,0.6066385457352843
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,500,33.2,30-100 mJy,25% ALESS,0.6513961828025355,1.5224147519681994,0.36868777428696703,0.13467690557095566,7.494302428902411
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,500,71.0,30-100 mJy,25% ALESS,0.0950924138539357,0.6607303321898019,0.8418783726529503,0.21159022994893378,15.830968498792972
Oliver et al. / Table 2,Oliver et al.,Table 2,250,23.8,10-30 mJy,25% ALESS,5.323866093160368,7.3017554791545995,0.13720016173704142,0.19574125659482536,0.49129744165541933
Oliver et al. / Table 2,Oliver et al.,Table 2,250,37.5,30-100 mJy,25% ALESS,5.309001872093681,5.506736451132969,0.015881413439050696,0.15406030100755788,0.010626660831838917
Oliver et al. / Table 2,Oliver et al.,Table 2,250,58.9,30-100 mJy,25% ALESS,3.077685356582988,3.852207511928812,0.09748545559768146,0.2038455568992267,0.22870578590892254
Oliver et al. / Table 2,Oliver et al.,Table 2,250,85.9,30-100 mJy,25% ALESS,2.042205016169377,2.1004426781117314,0.01221149537830779,0.2241762635495143,0.0029672794321710435
Oliver et al. / Table 2,Oliver et al.,Table 2,250,166.2,100-300 mJy,25% ALESS,0.7203632993618143,1.8078148626857113,0.39960237402449084,0.22395799202475644,3.1836329384595983
Oliver et al. / Table 2,Oliver et al.,Table 2,350,23.8,10-30 mJy,25% ALESS,2.9281263512382023,5.699678736353667,0.2892605642771401,0.262614176794674,1.2132271597427517
Oliver et al. / Table 2,Oliver et al.,Table 2,350,37.5,30-100 mJy,25% ALESS,2.903360398801232,3.419116751012346,0.07101298185315225,0.1904532239848746,0.13902690055548012
Oliver et al. / Table 2,Oliver et al.,Table 2,350,58.9,30-100 mJy,25% ALESS,1.3593110324908195,1.8522118424505891,0.13437181486454222,0.27202925182847687,0.24399737365238505
Oliver et al. / Table 2,Oliver et al.,Table 2,350,85.9,30-100 mJy,25% ALESS,0.724653392834295,1.4466250422394344,0.3002256488938967,0.27494143195482923,1.19238143022601
Oliver et al. / Table 2,Oliver et al.,Table 2,350,166.2,100-300 mJy,25% ALESS,0.2126786883830118,0.5347051191015939,0.40039036862128263,0.27980365552423503,2.0476723963769032
Oliver et al. / Table 2,Oliver et al.,Table 2,500,23.8,10-30 mJy,25% ALESS,0.9582958967688664,2.003396830958053,0.3202673538664004,0.39696299148506403,0.6509165345112087
Oliver et al. / Table 2,Oliver et al.,Table 2,500,37.5,30-100 mJy,25% ALESS,0.9124846967661014,1.304086625268963,0.15508085114375902,0.260975909683822,0.3531144676706674
Oliver et al. / Table 2,Oliver et al.,Table 2,500,58.9,30-100 mJy,25% ALESS,0.4103580475443983,0.7444481851567207,0.2586715207098337,0.3850182202799466,0.4513720553218544
Oliver et al. / Table 2,Oliver et al.,Table 2,500,85.9,30-100 mJy,25% ALESS,0.1515184366835344,0.562981285546487,0.5700284776282044,0.32531049718643373,3.0704140931028734
Oliver et al. / Table 2,Oliver et al.,Table 2,500,166.2,100-300 mJy,25% ALESS,0.0445939185319218,0.2817676684152183,0.8006155221662945,0.4227778056011686,3.5861103656917246
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,250,10.7,10-30 mJy,25% ALESS,2.5697550249959176,7.1214097450166625,0.4426742505505278,0.09885710384332873,20.051771884723504
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,250,12.3,10-30 mJy,25% ALESS,3.094552617535474,7.470156108985171,0.3827318061394294,0.0959627406150756,15.906836773775927
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,250,14.1,10-30 mJy,25% ALESS,3.7703932763566073,7.504655545916276,0.2989441111895915,0.09347992242024245,10.226883743112616
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,250,16.1,10-30 mJy,25% ALESS,6.604377338859135,7.5383144929566805,0.05744237337153302,0.08839433237219538,0.4222949724624673
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,250,18.4,10-30 mJy,25% ALESS,5.841070414614741,7.502474856101314,0.10871210686953958,0.08963934710995383,1.4708163730621826
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,250,21.1,10-30 mJy,25% ALESS,6.066960714634062,7.394999006397625,0.08596693721263515,0.09003199079851772,0.9117362061939334
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,250,24.2,10-30 mJy,25% ALESS,9.714824156609186,7.288942028262761,-0.1247704479174182,0.08760290513008638,2.028553429573024
