band_um,model,T_dust_K,N_points,chi2_log,reduced_chi2_log,median_log10_model_over_obs,external_source
350,mbb_T45,45,15,649.205137687593,43.2803425125062,-0.8160817746374843,Pearson et al. / Table 3 SUSSEXtractor
500,mbb_T45,45,12,384.65463149099565,32.05455262424964,-1.151208387796688,Pearson et al. / Table 3 SUSSEXtractor
all,mbb_T45,45,44,1433.601923646713,32.58186190106166,-0.8160817746374843,Pearson et al. / Table 3 SUSSEXtractor
250,mbb_T50,50,17,712.0610121849396,41.885941893231745,-0.8930229081794286,Pearson et al. / Table 3 SUSSEXtractor
350,mbb_T50,50,15,884.2916458019693,58.95277638679795,-1.1844607211944704,Pearson et al. / Table 3 SUSSEXtractor
500,mbb_T50,50,12,430.8269216878275,35.90224347398563,-1.390032933449182,Pearson et al. / Table 3 SUSSEXtractor
all,mbb_T50,50,44,2027.1795796747365,46.07226317442583,-1.1844607211944704,Pearson et al. / Table 3 SUSSEXtractor
250,mbb_T20,20,12,104.29164641107128,8.690970534255941,0.4679254685758772,Pearson et al. / Table 4 XID
350,mbb_T20,20,10,224.94976579291597,22.494976579291595,0.6450493605267562,Pearson et al. / Table 4 XID
500,mbb_T20,20,7,221.1114640939576,31.587352013422514,0.8127860969627378,Pearson et al. / Table 4 XID
all,mbb_T20,20,29,550.3528762979448,18.977685389584305,0.6450493605267562,Pearson et al. / Table 4 XID
250,mbb_T25,25,12,75.73948892852106,6.311624077376755,0.32924078438473176,Pearson et al. / Table 4 XID
350,mbb_T25,25,10,110.24417046834463,11.024417046834463,0.39655540456649174,Pearson et al. / Table 4 XID
500,mbb_T25,25,7,73.85651119949127,10.550930171355896,0.4277733701198736,Pearson et al. / Table 4 XID
all,mbb_T25,25,29,259.8401705963569,8.960005882632997,0.39655540456649174,Pearson et al. / Table 4 XID
250,mbb_T30,30,12,31.65127787437406,2.6376064895311715,0.1178593191368747,Pearson et al. / Table 4 XID
350,mbb_T30,30,10,26.243081781255274,2.6243081781255273,0.07166620975838062,Pearson et al. / Table 4 XID
500,mbb_T30,30,7,5.641678178860964,0.8059540255515663,0.047564930320151744,Pearson et al. / Table 4 XID
all,mbb_T30,30,29,63.536037834490294,2.190897856361734,0.07166620975838062,Pearson et al. / Table 4 XID
250,mbb_T35,35,12,17.321179249624283,1.443431604135357,-0.14334609933138082,Pearson et al. / Table 4 XID
350,mbb_T35,35,10,34.60065261188674,3.4600652611886735,-0.27621340195097455,Pearson et al. / Table 4 XID
500,mbb_T35,35,7,52.39733945461124,7.485334207801606,-0.3776112253163869,Pearson et al. / Table 4 XID
all,mbb_T35,35,29,104.31917131612227,3.597212804004216,-0.27621340195097455,Pearson et al. / Table 4 XID
250,mbb_T40,40,12,64.73735444999156,5.394779537499296,-0.3818090860031743,Pearson et al. / Table 4 XID
350,mbb_T40,40,10,152.53077908341163,15.253077908341163,-0.6337481005099204,Pearson et al. / Table 4 XID
500,mbb_T40,40,7,192.59330137155627,27.51332876736518,-0.8410951309332328,Pearson et al. / Table 4 XID
all,mbb_T40,40,29,409.8614349049594,14.133152927757221,-0.6337481005099204,Pearson et al. / Table 4 XID
250,mbb_T45,45,12,179.20218345765343,14.933515288137786,-0.6289830022113688,Pearson et al. / Table 4 XID
350,mbb_T45,45,10,372.57675319837267,37.25767531983727,-0.9657603519288771,Pearson et al. / Table 4 XID
500,mbb_T45,45,7,357.7365987680235,51.10522839543193,-1.3002635236823823,Pearson et al. / Table 4 XID
all,mbb_T45,45,29,909.5155354240496,31.362604669794816,-0.9657603519288771,Pearson et al. / Table 4 XID
250,mbb_T50,50,12,359.79014722535493,29.982512268779576,-0.8750765780225376,Pearson et al. / Table 4 XID
350,mbb_T50,50,10,607.2263916991182,60.722639169911815,-1.2878519121335534,Pearson et al. / Table 4 XID
500,mbb_T50,50,7,455.01635581257057,65.00233654465293,-1.6883284901244862,Pearson et al. / Table 4 XID
all,mbb_T50,50,29,1422.0328947370435,49.03561705989805,-1.2878519121335534,Pearson et al. / Table 4 XID
250,mbb_T20,20,5,160.42084232378974,32.08416846475795,0.6495285668993805,Varnish et al. / Table 4 P(D) best-fit spline
350,mbb_T20,20,5,372.12048420346065,74.42409684069213,0.9742618403240861,Varnish et al. / Table 4 P(D) best-fit spline
500,mbb_T20,20,5,585.1145231052583,117.02290462105165,1.4191399606335946,Varnish et al. / Table 4 P(D) best-fit spline
all,mbb_T20,20,15,1117.6558496325088,74.51038997550059,0.9742618403240861,Varnish et al. / Table 4 P(D) best-fit spline
250,mbb_T25,25,5,74.04395934756718,14.808791869513437,0.49561155581154537,Varnish et al. / Table 4 P(D) best-fit spline
350,mbb_T25,25,5,127.3094892072415,25.461897841448298,0.6269301248895275,Varnish et al. / Table 4 P(D) best-fit spline
500,mbb_T25,25,5,210.14520138674564,42.029040277349125,0.8902335101556678,Varnish et al. / Table 4 P(D) best-fit spline
all,mbb_T25,25,15,411.4986499415543,27.43324332943695,0.6269301248895275,Varnish et al. / Table 4 P(D) best-fit spline
250,mbb_T30,30,5,25.10187609052358,5.020375218104716,0.22161032277434944,Varnish et al. / Table 4 P(D) best-fit spline
350,mbb_T30,30,5,36.82056539599517,7.364113079199034,0.21326199869742635,Varnish et al. / Table 4 P(D) best-fit spline
500,mbb_T30,30,5,58.968608085447954,11.793721617089592,0.3531442525461583,Varnish et al. / Table 4 P(D) best-fit spline
all,mbb_T30,30,15,120.8910495719667,8.05940330479778,0.22161032277434944,Varnish et al. / Table 4 P(D) best-fit spline
250,mbb_T35,35,5,4.460168255459735,0.8920336510919469,0.04440230183549965,Varnish et al. / Table 4 P(D) best-fit spline
350,mbb_T35,35,5,11.096588271105803,2.2193176542211606,-0.09038770452233069,Varnish et al. / Table 4 P(D) best-fit spline
500,mbb_T35,35,5,16.55181654768671,3.3103633095373417,-0.18111815311269674,Varnish et al. / Table 4 P(D) best-fit spline
all,mbb_T35,35,15,32.10857307425225,2.140571538283483,-0.09038770452233069,Varnish et al. / Table 4 P(D) best-fit spline
250,mbb_T40,40,5,14.614358653057113,2.9228717306114227,-0.13658425933485166,Varnish et al. / Table 4 P(D) best-fit spline
350,mbb_T40,40,5,28.413050549352278,5.682610109870455,-0.35738530071873365,Varnish et al. / Table 4 P(D) best-fit spline
500,mbb_T40,40,5,53.48614690939325,10.69722938187865,-0.4714957808117072,Varnish et al. / Table 4 P(D) best-fit spline
all,mbb_T40,40,15,96.51355611180264,6.434237074120176,-0.35738530071873365,Varnish et al. / Table 4 P(D) best-fit spline
250,mbb_T45,45,5,52.399084973174574,10.479816994634914,-0.4768625439117505,Varnish et al. / Table 4 P(D) best-fit spline
350,mbb_T45,45,5,68.69776776511904,13.739553553023807,-0.6439749523287025,Varnish et al. / Table 4 P(D) best-fit spline
500,mbb_T45,45,5,107.35047559216329,21.47009511843266,-0.8843660822588624,Varnish et al. / Table 4 P(D) best-fit spline
all,mbb_T45,45,15,228.4473283304569,15.229821888697128,-0.6439749523287025,Varnish et al. / Table 4 P(D) best-fit spline
250,mbb_T50,50,5,108.77905547818655,21.75581109563731,-0.5759169531651143,Varnish et al. / Table 4 P(D) best-fit spline
350,mbb_T50,50,5,104.02451707891935,20.80490341578387,-0.9499180147004707,Varnish et al. / Table 4 P(D) best-fit spline
500,mbb_T50,50,4,160.01921441406833,40.00480360351708,-1.271500626664583,Varnish et al. / Table 4 P(D) best-fit spline
all,mbb_T50,50,14,372.8227869711742,26.630199069369585,-0.9499180147004707,Varnish et al. / Table 4 P(D) best-fit spline
