band_um,N_wang_matched_total,N_wang_snr3_with_fsps,median_wang_mjy,median_fsps_mjy,median_log10_fsps_over_wang,mad_log10_fsps_over_wang,spearman_wang_vs_fsps,median_aless_mjy,median_log10_aless_over_wang,mad_log10_aless_over_wang,spearman_wang_vs_aless,median_aless_bright_mjy,median_log10_aless_bright_over_wang,mad_log10_aless_bright_over_wang,spearman_wang_vs_aless_bright,median_aless_faint_mjy,median_log10_aless_faint_over_wang,mad_log10_aless_faint_over_wang,spearman_wang_vs_aless_faint,median_hybrid50_mjy,median_log10_hybrid50_over_wang,mad_log10_hybrid50_over_wang,spearman_wang_vs_hybrid50
250,114048,6221,11.347938,7.751657459526285,-0.16262945828879025,0.3553045396726574,0.23513687325647878,5.973937942156007,-0.286383371001273,0.2407987318614319,0.31879798846466084,6.288953748005588,-0.2641977575917789,0.24159281578007374,0.3193332112933967,4.189339025203126,-0.4477991172280229,0.24665875857980568,0.3072546601665502,6.8574975370765925,-0.2155213472696418,0.26856581224955434,0.29425485744886554
350,114048,4013,11.313274,8.428204082808717,-0.1363311314954753,0.310164722675473,0.11823627231232252,4.207781270590088,-0.431786320821781,0.2747400595355125,0.22283754597051048,4.494139276532521,-0.40233867096928244,0.274467069116039,0.22178582557214283,2.596386758428682,-0.6427971399571635,0.28386833856162286,0.22897340617162212,6.001768502600801,-0.28173256875598796,0.27211834916262007,0.18391849015612927
500,114048,1695,10.126612,5.9250626735210945,-0.2239479735172473,0.30256676193263604,0.06851561589793803,2.1114959694249795,-0.6693160788156493,0.3364262334763316,0.12503227335514558,2.2856284687768693,-0.636432013901924,0.33587898031898866,0.12430089510817056,1.1725287486982012,-0.9169630808227811,0.3411971869533439,0.13102927977167111,3.6380472129711885,-0.4440543504192933,0.30623548838401266,0.10443403914654235
850,114048,624,3.590375,2.9561794650695634,-0.0909658873848127,0.30418180199866296,0.1583560933448574,0.869474108956277,-0.6122288234140827,0.3445802810335901,0.17947879985183354,0.947212940072069,-0.5759699780952491,0.34585520730321834,0.17896392147178666,0.4366883161263301,-0.9068822543373403,0.3476403176981849,0.1851232991727374,1.5389279005035679,-0.3586385813453389,0.31927330671193205,0.1742921842202741
