model_label,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log
25% ALESS,83,277.4764339412925,0.09748545559768146,3.343089565557741
50% ALESS,83,298.96434175945967,-0.10901076717683925,3.6019800211983095
75% ALESS,83,585.722977504537,-0.23305175760661165,7.056903343428156
FSPS,83,699.2864956951357,0.2669241870194513,8.425138502351032
ALESS,83,985.1099616915786,-0.3671658781233516,11.868794719175646
