z_mid,N,median,p16,p84
0.25,21546,0.20557493081204736,-0.029245116734858436,0.48867161296318984
0.75,82327,0.26809908679588546,-0.01985387987637026,0.5454347983060157
1.25,87585,0.3777197067839406,0.07146278679168093,0.6260931432202894
1.75,58165,0.43564062033102147,0.11489550087145481,0.6772508869692341
2.25,45027,0.33491237843232824,0.05057637893593053,0.6188200187948938
2.75,31962,0.26106893819606025,0.017027077214461964,0.6048544496593622
3.25,17892,0.2542427446153255,0.05084102731911172,0.5287937177618313
3.75,10058,0.2334977955311084,-0.00018168649175415267,0.5451800817961492
