band_um,model,flux_mjy,bin_min_mjy,bin_max_mjy,N_bin,euclidean_jy15_deg2,euclidean_err_jy15_deg2
250,fsps,5.9658317923524695,5.000000000000001,7.118229794928693,4909,3.1854256616979746,0.04546434706430184
250,fsps,8.493232323171238,7.118229794928693,10.133839082682117,3833,4.224898318180469,0.06824123085087039
250,fsps,12.091355875609787,10.133839082682117,14.426999059072134,2647,4.956035205324476,0.0963290799004122
250,fsps,17.21380993097034,14.426999059072134,20.5389389107391,1744,5.546639263370596,0.13281792202740106
250,fsps,24.5063709469745,20.5389389107391,29.240177382128667,1081,5.839990417733585,0.17762303544017735
250,fsps,34.888395968065744,29.240177382128667,41.62766037009365,555,5.093102578633192,0.21619016435728283
250,fsps,49.66872393543112,41.62766037009365,59.26305046791458,269,4.193191721439263,0.25566341148673644
250,fsps,70.71067811865476,59.26305046791458,84.36960231581453,133,3.5216572081405153,0.305366407442512
250,fsps,100.66697116076413,84.36960231581453,120.11244339814311,32,1.439290361807307,0.2544329937325966
250,fsps,143.3141266963557,120.11244339814311,170.99759466766963,15,1.1460213209372472,0.29590143269257224
250,fsps,204.02857733683695,170.99759466766963,243.4400346449093,13,1.68712705651145,0.46792485465189726
250,fsps,290.4644596431972,243.4400346449093,346.5724215775732,5,1.102243234589218,0.4929381600561478
250,fsps,413.5185542000137,346.5724215775732,493.39642747481366,0,,
250,fsps,588.7040186524744,493.39642747481366,702.4218301525182,1,0.636082484331491,0.636082484331491
250,fsps,838.10609719326,702.4218301525182,1000.0,0,,
250,aless,5.9658317923524695,5.000000000000001,7.118229794928693,5111,3.3165024560884797,0.04639032154801576
250,aless,8.493232323171238,7.118229794928693,10.133839082682117,3218,3.547018728908101,0.0625274131633494
250,aless,12.091355875609787,10.133839082682117,14.426999059072134,1816,3.4001359776612192,0.07978814413279335
250,aless,17.21380993097034,14.426999059072134,20.5389389107391,803,2.5538711745909337,0.09012415662286064
250,aless,24.5063709469745,20.5389389107391,29.240177382128667,327,1.7665835953736189,0.09769229605131263
250,aless,34.888395968065744,29.240177382128667,41.62766037009365,123,1.1287416525619507,0.10177520734994479
250,aless,49.66872393543112,41.62766037009365,59.26305046791458,38,0.592346785928223,0.0960913374155159
250,aless,70.71067811865476,59.26305046791458,84.36960231581453,26,0.6884442662530331,0.13501502875558777
250,aless,100.66697116076413,84.36960231581453,120.11244339814311,7,0.31484476664534844,0.11900013630482226
250,aless,143.3141266963557,120.11244339814311,170.99759466766963,5,0.3820071069790824,0.17083877181865254
250,aless,204.02857733683695,170.99759466766963,243.4400346449093,0,,
250,aless,290.4644596431972,243.4400346449093,346.5724215775732,0,,
250,aless,413.5185542000137,346.5724215775732,493.39642747481366,0,,
250,aless,588.7040186524744,493.39642747481366,702.4218301525182,0,,
250,aless,838.10609719326,702.4218301525182,1000.0,1,1.0804792632254527,1.0804792632254527
250,aless_bright,5.9658317923524695,5.000000000000001,7.118229794928693,5389,3.4968952721308586,0.047635259352867845
250,aless_bright,8.493232323171238,7.118229794928693,10.133839082682117,3436,3.78730775404855,0.06461063650210619
250,aless_bright,12.091355875609787,10.133839082682117,14.426999059072134,1918,3.5911127781686227,0.08199828002954027
250,aless_bright,17.21380993097034,14.426999059072134,20.5389389107391,895,2.84646911738342,0.09514696915188918
250,aless_bright,24.5063709469745,20.5389389107391,29.240177382128667,368,1.9880818443348374,0.10363593021724676
250,aless_bright,34.888395968065744,29.240177382128667,41.62766037009365,141,1.293923357814919,0.10896800414966748
250,aless_bright,49.66872393543112,41.62766037009365,59.26305046791458,43,0.6702871524977261,0.10221783246821578
250,aless_bright,70.71067811865476,59.26305046791458,84.36960231581453,29,0.767880143128383,0.1425917628576681
250,aless_bright,100.66697116076413,84.36960231581453,120.11244339814311,8,0.35982259045182674,0.1272164968662983
250,aless_bright,143.3141266963557,120.11244339814311,170.99759466766963,4,0.3056056855832659,0.15280284279163295
250,aless_bright,204.02857733683695,170.99759466766963,243.4400346449093,1,0.12977900434703463,0.1297790043470346
250,aless_bright,290.4644596431972,243.4400346449093,346.5724215775732,0,,
250,aless_bright,413.5185542000137,346.5724215775732,493.39642747481366,0,,
250,aless_bright,588.7040186524744,493.39642747481366,702.4218301525182,0,,
250,aless_bright,838.10609719326,702.4218301525182,1000.0,1,1.0804792632254527,1.0804792632254527
250,aless_faint,5.9658317923524695,5.000000000000001,7.118229794928693,3632,2.356786718942156,0.039106357145778
250,aless_faint,8.493232323171238,7.118229794928693,10.133839082682117,2155,2.375334170539763,0.051168310694863106
250,aless_faint,12.091355875609787,10.133839082682117,14.426999059072134,981,1.8367474637035552,0.0586428333349516
250,aless_faint,17.21380993097034,14.426999059072134,20.5389389107391,434,1.3802989909993342,0.06625647180899033
250,aless_faint,24.5063709469745,20.5389389107391,29.240177382128667,160,0.864383410580364,0.06833550872746093
250,aless_faint,34.888395968065744,29.240177382128667,41.62766037009365,60,0.5506056841765613,0.07108288817143209
250,aless_faint,49.66872393543112,41.62766037009365,59.26305046791458,19,0.2961733929641115,0.06794683629979592
250,aless_faint,70.71067811865476,59.26305046791458,84.36960231581453,12,0.3177435075013999,0.09172464979459455
250,aless_faint,100.66697116076413,84.36960231581453,120.11244339814311,6,0.2698669428388701,0.11017271806667775
250,aless_faint,143.3141266963557,120.11244339814311,170.99759466766963,0,,
250,aless_faint,204.02857733683695,170.99759466766963,243.4400346449093,0,,
250,aless_faint,290.4644596431972,243.4400346449093,346.5724215775732,0,,
250,aless_faint,413.5185542000137,346.5724215775732,493.39642747481366,0,,
250,aless_faint,588.7040186524744,493.39642747481366,702.4218301525182,0,,
250,aless_faint,838.10609719326,702.4218301525182,1000.0,1,1.0804792632254527,1.0804792632254527
250,hybrid25,5.9658317923524695,5.000000000000001,7.118229794928693,5132,3.3301292515449186,0.04648552778082854
250,hybrid25,8.493232323171238,7.118229794928693,10.133839082682117,3776,4.162070453808884,0.06773192747585524
250,hybrid25,12.091355875609787,10.133839082682117,14.426999059072134,2548,4.770675369537878,0.09451052012891174
250,hybrid25,17.21380993097034,14.426999059072134,20.5389389107391,1518,4.8278660560760125,0.12391370051306887
250,hybrid25,24.5063709469745,20.5389389107391,29.240177382128667,861,4.651463228185584,0.1585214427405683
