band_um,flux_cut_mjy,positive_ids_1p278deg2_per_deg2,positive_ids_snr3_1p278deg2_per_deg2,positive_ids_2deg2_per_deg2,all_prior_rows_1p278deg2_per_deg2,area_choice_factor_1p278_vs_2deg,snr3_fraction_of_positive_count_density,all_prior_vs_positive_factor
250,5,5527.386541471048,4723.787167449139,3532.0,6977.308294209703,1.5649452269170578,0.8546149490373726,1.2623159682899208
250,10,3011.737089201878,2870.109546165884,1924.5,3956.1815336463214,1.5649452269170578,0.9529747986489996,1.3135879449207584
250,20,848.9827856025039,841.9405320813771,542.5,1173.7089201877934,1.5649452269170578,0.9917050691244239,1.3824884792626728
250,50,36.77621283255086,36.77621283255086,23.5,65.72769953051643,1.5649452269170578,1.0,1.7872340425531914
250,100,1.5649452269170578,1.5649452269170578,1.0,1.5649452269170578,1.5649452269170578,1.0,1.0
350,5,4266.823161189358,3085.2895148669795,2726.5,5456.181533646322,1.5649452269170578,0.7230882083256923,1.2787456445993033
350,10,2041.471048513302,1852.112676056338,1304.5,2721.439749608764,1.5649452269170578,0.9072441548486009,1.3330778075891148
350,20,476.5258215962441,466.3536776212832,304.5,671.3615023474179,1.5649452269170578,0.9786535303776683,1.4088669950738917
350,50,9.389671361502348,9.389671361502348,6.0,14.08450704225352,1.564945226917058,1.0,1.4999999999999998
350,100,0.0,0.0,0.0,0.0,,,
500,5,2242.566510172144,1287.9499217527386,1433.0,2951.4866979655712,1.5649452269170578,0.5743196092114445,1.3161200279134684
500,10,797.339593114241,672.9264475743349,509.5,1099.374021909233,1.5649452269170578,0.84396467124632,1.3788027477919529
500,20,115.02347417840376,112.67605633802816,73.5,181.5336463223787,1.564945226917058,0.9795918367346937,1.5782312925170066
500,50,0.7824726134585289,0.7824726134585289,0.5,0.7824726134585289,1.5649452269170578,1.0,1.0
500,100,0.0,0.0,0.0,0.0,,,
