ID,z_pop,SFR_pop,log10LIR,dust2_pop,lnfAGN_pop,fAGN_pop,lntauAGN_pop,F250_fsps_mjy,F350_fsps_mjy,F500_fsps_mjy,F850_fsps_mjy
159228,1.8671870827674866,4758.956028460828,14.103065920865678,0.6498472094535828,0.06790733337402344,1.0702661259326023,2.4713634252548218,605.1519919618001,850.4877033361086,887.4217903283874,409.2869165084432
789292,4.430723428726196,1059.6029201984497,13.192469209612147,1.3791565895080566,-3.869338274002075,0.020872176518290105,3.3653682470321655,3.812493664895457,10.254323218768572,27.488204164193036,48.251663126066006
382337,4.879253149032593,1058.3332490891346,13.031459656782841,1.647103190422058,-4.602275848388672,0.010028985302384844,3.264715790748596,1.92017640062225,4.694486815337515,13.80139671944824,29.121864970877976
464408,2.578284502029419,1045.5603325320008,12.792244446112113,0.3013741374015808,-0.720299243927002,0.486606620094832,2.5845537185668945,9.274804994054655,21.392666901842677,34.07994713403746,22.21670874086576
889339,2.187931776046753,1037.059833650158,13.400185606034857,0.6783188581466675,0.7008991241455078,2.0155641353800973,4.119324207305908,38.15479552845648,67.12276718182967,84.44245770646205,45.695540398319096
379086,3.650360345840454,880.2776099211356,13.447437013784226,0.7579097747802734,-2.9118456840515137,0.05437527761345521,4.363072633743286,14.055801581741092,39.71210988827359,86.32195402217006,104.1841768891619
528108,1.9102427959442139,825.084035774972,13.078824293236833,0.615627110004425,-3.920128583908081,0.019838543662884976,3.1202614307403564,77.72725725999842,129.47837762254787,139.05834349054322,65.64386439105678
50486,4.075357675552368,787.8332520258699,12.926631466867837,1.669871211051941,-4.586576223373413,0.010187679067686492,3.3361690044403076,2.757540851473809,7.8611569544613,19.394737441611976,28.714141450666595
440539,1.9981109499931335,776.8317668183059,13.298054763303304,0.5314801931381226,-0.2972097396850586,0.742888182887186,3.6600348949432373,65.53065480771761,118.89347822029278,136.08777879351396,67.19104906919061
751491,2.978773355484009,612.6162745907994,13.135737640795528,1.4030012488365173,-0.6073698997497559,0.5447818172749598,2.6217143535614014,12.418769037255101,32.44794796266385,57.13090850951284,48.069784507123856
739472,4.121586799621582,578.1640787225124,12.889230039537923,1.4642853736877441,-1.4727025032043457,0.2293049497034865,2.9175140857696533,2.293259663488985,6.139331464283779,15.217827071795229,23.012472034730695
627080,2.000745415687561,571.9581767452329,13.329947214592064,0.7169631719589233,-0.4896125793457031,0.6128637842848353,3.5600823163986206,72.70299453895053,132.32468653320137,151.76540528562296,75.02970810497274
322756,3.8390650749206543,553.3027608154266,12.88938179061975,2.3694738149642944,-3.369110107421875,0.03442025404727735,3.2868196964263916,3.452872977180336,9.037911125872146,20.85137315277673,27.607687181755626
314815,1.938670039176941,549.1346645009924,13.168057869226907,0.9700289964675903,-2.973384380340576,0.05112997390068042,3.295493483543396,85.31370678828955,153.99978919311118,170.4385063147426,81.66058192042648
1449,2.596126437187195,527.5774499310692,13.251903933560286,0.5675448179244995,0.5985465049743652,1.8194722835934556,4.239819049835205,16.505153706476033,30.020017222426425,46.0395032564354,30.036760817852695
551595,2.519727349281311,527.4824601794426,13.045633451526937,0.7846664786338806,-0.4260396957397461,0.6530904166989027,3.8838390111923218,17.515029905267884,37.90970427486252,58.45896979387064,36.937314931763964
246222,2.1546374559402466,526.482053378243,13.113399714008391,0.6916789412498474,0.822049617767334,2.275158266708933,2.5738909244537354,21.06569053073927,40.71108472282817,51.32285166044913,27.414092933146506
312997,4.18857741355896,524.6182417828811,12.654557471520148,0.8279663920402527,-5.496452331542969,0.004101295696980838,3.2934550046920776,1.327843212687058,3.7445053156099917,9.517704646092433,14.86318787137802
770136,1.8924856781959534,511.3444322253135,13.205099889555074,0.5884741544723511,0.1888279914855957,1.207833177023412,3.844103455543518,50.90432385731072,86.28333821669595,91.81443393444715,42.87433284728629
104038,3.467031955718994,495.91081072230867,12.750438187955911,1.5605576038360596,-5.046458005905151,0.006432075519843807,3.3345720767974854,3.681422788756643,9.728987314884188,20.07538209230323,22.135603059580237
243565,1.6959087252616882,489.0566718821097,12.772373570253912,1.8529992699623108,-5.374186754226685,0.004634686340407394,3.0117149353027344,53.92334671894332,89.10587499612178,83.51383428285418,35.08880838991834
350884,3.464348316192627,482.21413528333755,12.690078301741922,0.5396705865859985,-6.306413173675537,0.001824565917478862,3.3455896377563477,3.2528898747041484,8.459119835679058,17.44265519280516,19.206643979510048
948700,2.474144458770752,473.7118198526401,12.868312599099392,2.1343756914138794,-4.258737325668335,0.014140145541582626,3.268829584121704,17.709343749638887,39.84626113912532,60.545253354623085,37.493096509193634
920743,3.3112432956695557,463.5704675606228,12.860826108255873,0.02689945697784424,-0.8383998870849609,0.43240186197553887,3.0473086833953857,2.3027231732615387,4.472188292086414,8.346287659256106,8.427862230311815
571659,4.024045944213867,457.58514402968734,12.920288715361304,2.6974964141845703,-1.7421512603759766,0.17514321639017968,3.4402525424957275,2.7899737235326856,7.331364896764825,17.66618389194861,25.497701039561292
