subset,N,median_z,median_log10M_pop,median_log10SFR_pop,median_log10LIR,median_dlogLIR_model_minus_k98_sal,sigma_mad_dlogLIR_model_minus_k98_sal,spearman_rho_logSFR_vs_logLIR
all_sf_like,354562,1.3998267650604248,9.376491069793701,0.20372962951660156,10.306283581691883,0.3220469144413487,0.29137636262516786,0.9493596833180139
binA_1<=z<2_9<=logM<=11.5,107628,1.424398958683014,9.578844785690308,0.32956552505493164,10.514647317558108,0.419714468480092,0.24987545305640252,0.9229907724888164
binB_1.5<=z<2.5_logM>=10,19300,1.8884432315826416,10.351850509643555,1.246208906173706,11.536753691346,0.5987878778344644,0.22361355894004648,0.8235756664363899
narrow_1.0<=z<1.5,61590,1.2536084353923798,9.566791772842407,0.11945056915283203,10.276524098856074,0.40041913595542233,0.23795433487672746,0.9094386360425489
narrow_1.5<=z<2.0,46038,1.7141368091106415,9.593444108963013,0.5664088726043701,10.76515822628696,0.44907301326240834,0.2588533276529743,0.9053457682566718
