sfr_min_msun_per_yr,N,median_z,median_log10SFR_pop,median_log10LIR,median_F24_aless_mjy,p16_F24_aless_mjy,p84_F24_aless_mjy,N_F24_gt_1mJy,N_F24_gt_3mJy,median_F250_aless_mjy,p16_F250_aless_mjy,p84_F250_aless_mjy,N_F250_gt_1mJy,N_F250_gt_3mJy,median_F350_aless_mjy,p16_F350_aless_mjy,p84_F350_aless_mjy,N_F350_gt_1mJy,N_F350_gt_3mJy,median_F500_aless_mjy,p16_F500_aless_mjy,p84_F500_aless_mjy,N_F500_gt_1mJy,N_F500_gt_3mJy,median_F850_aless_mjy,p16_F850_aless_mjy,p84_F850_aless_mjy,N_F850_gt_1mJy,N_F850_gt_3mJy
10,74910,2.6202038526535034,1.3158085346221924,11.443643033600134,0.011487264291745156,0.0006331296857068626,0.08192184904580117,125,17,1.0446867201752523,0.3036861474695254,4.549362931392394,38361,18801,1.135163282976419,0.37644097513281366,3.5888857279420074,40508,15365,0.8378438004154921,0.3226381101562988,2.190512630081542,31863,7100,0.2936084152504894,0.13255212531687383,0.7244283103962931,7018,716
30,23205,2.857630968093872,1.6656875610351562,11.793054691371522,0.012951888988669315,0.000876520492034219,0.13557553248811385,79,10,1.7119500323816816,0.5342648239543037,7.991687581495541,15371,8473,2.014665083496185,0.7137758433833006,6.682935310264102,17106,8984,1.6668592670205602,0.6609215866435275,4.163593256151422,16040,6391,0.6496398369854524,0.30394342962239834,1.4004104349730542,6715,715
100,2163,2.967963218688965,2.113760471343994,12.27717238336104,0.03137018154857822,0.00207473390374754,0.29056090165636106,52,7,4.856176377141389,1.353145080893882,17.58626159158238,1916,1415,5.80247289324918,1.947716094851389,16.282381632035374,2032,1585,4.851249488850275,1.9149300765258734,11.174656381681663,2041,1501,1.9593194890869912,0.9552767171819269,3.923051055492254,1782,617
