model,T_dust_K,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log
mbb_T35,35,147,626.6372093909384,-0.10770002314797464,4.262838159122031
mbb_T30,30,148,890.4635951600599,0.2174361607358879,6.016645913243647
mbb_T40,40,148,1825.17001265477,-0.4003097539459226,12.332229815234934
mbb_T25,25,148,3327.8850876726715,0.5733413521056469,22.485710051842375
mbb_T45,45,148,3589.7984167690965,-0.6367048532903705,24.255394707899303
mbb_T50,50,145,5185.933099189936,-0.9775173073665665,35.76505585648232
mbb_T20,20,149,7803.736694043831,0.893523968643412,52.37407177210625
