source_short,FSPS,25% ALESS,50% ALESS,MBB 35 K,Casey T30K a=2.5,Casey T30K a=3.0,ALESS
Clements,12.349010152277884,4.644249881518027,4.460487045845054,2.901915030474976,2.7659313779194568,2.238833748311696,13.696650456269891
Oliver,3.4621963898236734,1.1243641922093206,1.0136480423649272,0.5521345678737142,0.4130634535947621,0.7067561131716287,3.094515523462276
Pearson SUSSEX,8.203750575747097,5.492397426480173,6.4588682514369085,7.810216326515715,6.451209481305124,6.216909078754279,18.8104220810207
Pearson XID,2.062415512573229,1.0699567123463605,2.2973150638470234,3.597212804004216,1.94153308942995,1.4325689017211811,13.635957053380146
Glenn P(D),12.148241068459129,6.708531196311023,4.394532209279336,3.8649756463720495,2.152069275994231,3.4328944420897005,12.287448900465556
Varnish P(D),14.194622842042316,6.391131314794573,3.6993067853097497,2.140571538283483,2.1844585667581238,5.06262316140638,6.785990142547427
