sample,ID,z_pop,SFR_pop,log10LIR,peak_um_30_300,fAGN_pop
top SFR,159228,1.8671870827674866,4758.956028460828,14.103065920865678,88.72,1.0702661259326023
top SFR,789292,4.430723428726196,1059.6029201984497,13.192469209612147,135.5,0.020872176518290105
top SFR,382337,4.879253149032593,1058.3332490891346,13.031459656782841,135.5,0.010028985302384844
top SFR,464408,2.578284502029419,1045.5603325320008,12.792244446112113,135.5,0.486606620094832
top SFR,889339,2.187931776046753,1037.059833650158,13.400185606034857,30.2,2.0155641353800973
top SFR,379086,3.650360345840454,880.2776099211356,13.447437013784226,135.5,0.05437527761345521
top SFR,528108,1.9102427959442139,825.084035774972,13.078824293236833,135.5,0.019838543662884976
top SFR,50486,4.075357675552368,787.8332520258699,12.926631466867837,135.5,0.010187679067686492
top SFR,440539,1.9981109499931335,776.8317668183059,13.298054763303304,135.5,0.742888182887186
top SFR,751491,2.978773355484009,612.6162745907994,13.135737640795528,135.5,0.5447818172749598
median SFR,675267,0.9818335175514221,0.9756178711174656,10.24649776745022,135.5,0.10007116621760492
median SFR,910912,0.9595602750778198,0.9756221558771768,10.055668439292495,135.5,0.35069338670373734
median SFR,622414,3.272446632385254,0.9756232270700449,9.40685509397876,88.72,0.04137422330441603
median SFR,399885,1.8886616826057434,0.9756414375287513,10.37193393965041,135.5,0.923218103119318
median SFR,658587,0.6628975868225098,0.9756500072739922,9.889907855286753,122.5,0.07469242750831166
median SFR,858494,1.7271413803100586,0.9756725032133914,9.697582015808614,135.5,0.008905283004406909
median SFR,620496,1.448551595211029,0.9756907145918597,10.31186342427652,135.5,0.1300804362265546
median SFR,626371,1.6134059429168701,0.9756949996714881,9.993425788833047,135.5,0.020204705965400138
median SFR,924916,1.2846782207489014,0.9757110688877051,10.138590828441918,135.5,0.006376299047116013
median SFR,908631,1.7319202423095703,0.9757153540567263,11.059691314980586,30.2,1.085657446804624
low SFR,964390,0.0064321160316467285,8.519165076673305e-07,4.929563809610087,135.5,0.0009305665011746224
low SFR,932125,0.004996508359909058,1.0192411270011828e-06,5.251257338919885,135.5,0.00040377821095354747
low SFR,627215,0.5598927140235901,2.3526805264325427e-06,9.198412320388504,135.5,0.007011536588856468
low SFR,683258,0.9345207810401917,2.3747634995771004e-06,9.737757114536036,135.5,0.12127102251093363
low SFR,184750,1.1388047933578491,3.142165813864037e-06,8.78570275048926,135.5,0.004265046934589936
low SFR,543508,0.969094455242157,4.266695670712484e-06,8.824931223184338,135.5,0.011581844172402938
low SFR,681329,0.010631382465362549,4.455588135635713e-06,5.610578161848596,135.5,0.022762161250677603
low SFR,689253,0.021639883518218994,5.250602266613601e-06,5.937381358460068,135.5,0.000945532738465653
low SFR,564389,0.02287745475769043,5.941133017970474e-06,5.867821882926647,135.5,0.0009143167192095841
low SFR,502983,0.9946725368499756,5.964574294589928e-06,9.593968084829681,135.5,0.0111895447602491
