band_um,model,x_low_mjy,x_high_mjy,x_median_mjy,N,median_log10_ratio,p16_log10_ratio,p84_log10_ratio
250,FSPS,5.000000000000001,7.035326058733826,6.0633479999999995,882,-0.022091161497622483,-0.5436434405464423,0.35900523808211615
250,FSPS,7.035326058733826,9.899162550539842,8.476853,1421,-0.11021001007135584,-0.6115299837989618,0.329292266412455
250,FSPS,9.899162550539842,13.928767250290985,11.724253000000001,1408,-0.17707770483962104,-0.7129474625676988,0.2579608928388451
250,FSPS,13.928767250290985,19.598683840402096,16.256242,1158,-0.22520154919877416,-0.8023611277199972,0.24582228971996722
250,FSPS,19.598683840402096,27.576626227853268,22.638737,685,-0.338316889069929,-0.8857826896658161,0.2239837150915428
250,FSPS,27.576626227853268,38.80211142255575,31.474197,305,-0.34273367531098525,-0.9566113391226481,0.24953148688240104
250,FSPS,38.80211142255575,54.59710112499995,44.584419,97,-0.4286843989345803,-1.1285370045499101,0.1732982306381212
250,ALESS,5.000000000000001,7.035326058733826,6.0633479999999995,882,-0.15288370107447286,-0.5776140756403921,0.1513799076975587
250,ALESS,7.035326058733826,9.899162550539842,8.476853,1421,-0.23064614601155467,-0.6689605805089427,0.06824146678605034
250,ALESS,9.899162550539842,13.928767250290985,11.724253000000001,1408,-0.28551581720612307,-0.7640611882812138,0.004332779069626026
250,ALESS,13.928767250290985,19.598683840402096,16.256242,1158,-0.3531817350772847,-0.8039787424292754,-0.07683826342604248
250,ALESS,19.598683840402096,27.576626227853268,22.638737,685,-0.41111520698090753,-0.8903789556558074,-0.12230766882116234
250,ALESS,27.576626227853268,38.80211142255575,31.474197,305,-0.4438581080227512,-0.9480714781622616,-0.1448839234795283
250,ALESS,38.80211142255575,54.59710112499995,44.584419,97,-0.49332861494519387,-1.0678552956429916,-0.2378267526837299
350,FSPS,5.000000000000001,6.864054740537278,5.985301,485,0.09693373844243415,-0.36086141185679166,0.4639824146613796
350,FSPS,6.864054740537278,9.423049496218452,8.197774500000001,894,-0.0347519109477091,-0.5270227092010666,0.3222911845370493
350,FSPS,9.423049496218452,12.936065512967131,11.082987,913,-0.11506623965083086,-0.5663414301032763,0.27969660988417316
350,FSPS,12.936065512967131,17.758772361636563,14.857678,816,-0.24500478990811161,-0.6868552963114574,0.15652850658608014
350,FSPS,17.758772361636563,24.379437123002766,20.3470325,476,-0.30279277547635175,-0.8374147669642172,0.10347316664285035
350,FSPS,24.379437123002766,33.46835819115552,27.440447,243,-0.4592367358441116,-1.0249978432994966,-0.04012227776389447
350,FSPS,33.46835819115552,45.945728540000125,38.258045,65,-0.43683501270957753,-0.9270066148951356,0.020709437173972205
350,ALESS,5.000000000000001,6.864054740537278,5.985301,485,-0.24185612046670463,-0.7396268375405515,0.07076791418958275
350,ALESS,6.864054740537278,9.423049496218452,8.197774500000001,894,-0.37570961715809703,-0.8660795701092288,-0.0427883822804889
350,ALESS,9.423049496218452,12.936065512967131,11.082987,913,-0.43195671770958677,-0.8942192838548031,-0.1064287852301135
350,ALESS,12.936065512967131,17.758772361636563,14.857678,816,-0.4771687867261368,-1.0087826831813866,-0.16059516058478665
350,ALESS,17.758772361636563,24.379437123002766,20.3470325,476,-0.5665250696916324,-1.0461701516767883,-0.23589855487929426
350,ALESS,24.379437123002766,33.46835819115552,27.440447,243,-0.5968399809499437,-1.3871250625883387,-0.23949677308497608
350,ALESS,33.46835819115552,45.945728540000125,38.258045,65,-0.6253003971922121,-1.1550461350818364,-0.31406949357099045
500,FSPS,5.000000000000001,6.679594363232652,5.823891,231,-0.02100833072201531,-0.41190546089358726,0.3084264026314742
500,FSPS,6.679594363232652,8.923396171465884,7.7009799999999995,380,-0.11662914054985965,-0.5978621808690094,0.25549986158882915
500,FSPS,8.923396171465884,11.920933353563068,10.402707,423,-0.2327081974316241,-0.7242379924938698,0.15327587356320385
500,FSPS,11.920933353563068,15.925399846586398,13.639956,318,-0.34217350113311273,-0.7822534739522538,-0.0041378182742804375
500,FSPS,15.925399846586398,21.27504220949692,17.91434,170,-0.4965101722256179,-1.0831460780244835,-0.07219313376486829
500,FSPS,21.27504220949692,28.421730404018476,23.4664,75,-0.4374457909681743,-0.9557880300375926,-0.12004549786773815
500,FSPS,28.421730404018476,37.96912603999998,31.887695,27,-0.4271124676140432,-1.0073132594709806,-0.08725978232118656
500,ALESS,5.000000000000001,6.679594363232652,5.823891,231,-0.5072819883063,-0.9876470496251232,-0.10547441155752975
500,ALESS,6.679594363232652,8.923396171465884,7.7009799999999995,380,-0.618683182736034,-1.1317916060130353,-0.18831141388526068
500,ALESS,8.923396171465884,11.920933353563068,10.402707,423,-0.6981887970053328,-1.2536261867224154,-0.2747511203464372
500,ALESS,11.920933353563068,15.925399846586398,13.639956,318,-0.7616520573601002,-1.3187176164040313,-0.35263401710505904
500,ALESS,15.925399846586398,21.27504220949692,17.91434,170,-0.8969901101571184,-1.587389148164164,-0.37163692032840173
500,ALESS,21.27504220949692,28.421730404018476,23.4664,75,-0.843358546845401,-1.4056863644501016,-0.35422133567396547
500,ALESS,28.421730404018476,37.96912603999998,31.887695,27,-0.7722137999228783,-1.4292771840316476,-0.4425908526482313
850,FSPS,5.000000000000001,5.799618131060054,5.320849000000001,44,-0.15944551000501933,-0.7746171614807145,0.2935521322341085
850,FSPS,5.799618131060054,6.7271140932241,6.141306500000001,26,-0.157378817707467,-1.096477737907554,0.12151981141989729
850,FSPS,6.7271140932241,7.802938572954419,7.207749,20,0.034724054646243396,-0.6032448084090477,0.29892701342291134
850,FSPS,7.802938572954419,9.050812804650862,8.174495,11,-0.2941060635173343,-0.6365066174179698,0.13333534203681885
850,ALESS,5.000000000000001,5.799618131060054,5.320849000000001,44,-0.6916012840547678,-1.5242183443203,-0.19375938264387146
850,ALESS,5.799618131060054,6.7271140932241,6.141306500000001,26,-0.6552186115544681,-1.9159192236905493,-0.3869172145982874
850,ALESS,6.7271140932241,7.802938572954419,7.207749,20,-0.5530408333219536,-1.051663912572962,-0.18124892857605523
850,ALESS,7.802938572954419,9.050812804650862,8.174495,11,-0.7355803656457871,-1.2848551660543248,-0.4131345669753511
