band_um,model,x_low_mjy,x_high_mjy,x_median_mjy,N,median_log10_ratio,p16_log10_ratio,p84_log10_ratio
250,FSPS/ALESS,0.1,0.1778279410038923,0.13629605133545353,8768,0.13823109919895232,-0.2583399867190481,0.5004693701962868
250,FSPS/ALESS,0.1778279410038923,0.31622776601683794,0.24029915670299104,11269,0.10511895737738264,-0.31360983892117206,0.49057518344630835
250,FSPS/ALESS,0.31622776601683794,0.5623413251903491,0.42668948757617703,13555,0.05116705596010082,-0.36222833481283184,0.4675130818874506
250,FSPS/ALESS,0.5623413251903491,1.0,0.7549078195243996,15594,0.006348085086503172,-0.3776816370820017,0.4396218645095722
250,FSPS/ALESS,1.0,1.7782794100389228,1.3368935886267908,16056,-0.026057808802755614,-0.38450703111872764,0.42538686271186293
250,FSPS/ALESS,1.7782794100389228,3.1622776601683795,2.350603451618115,14751,-0.046395695029822576,-0.39909541305722046,0.41819980197088225
250,FSPS/ALESS,3.1622776601683795,5.623413251903491,4.1004326803395825,11053,-0.019671205968773427,-0.3929031490313126,0.4338734577252171
250,FSPS/ALESS,5.623413251903491,10.0,7.097085243686103,6340,-0.035271457044249714,-0.3781114292645693,0.4343288556962656
250,FSPS/ALESS,10.0,17.78279410038923,12.318128933375592,2449,-0.0438332495305198,-0.36884133371412786,0.44643974770780864
250,FSPS/ALESS,17.78279410038923,31.622776601683793,21.398990441472787,631,-0.06586770532373129,-0.37138117940750814,0.4262675595291202
250,FSPS/ALESS,31.622776601683793,56.23413251903491,37.827385291231714,106,-0.04339628170945253,-0.39313555827706664,0.475587852026279
250,FSPS/ALESS,56.23413251903491,100.0,67.2314108413913,35,0.0584564697343576,-0.3902283997829736,0.5055852621372889
350,FSPS/ALESS,0.1,0.1778279410038923,0.135801973121844,10060,0.4148843615511168,0.08499987852107867,0.6627113909056568
350,FSPS/ALESS,0.1778279410038923,0.31622776601683794,0.2405506356842558,11807,0.3739679425290295,0.032127999383301874,0.6405216649751796
350,FSPS/ALESS,0.31622776601683794,0.5623413251903491,0.4259951834242731,14111,0.3114010260797664,-0.034545962298260506,0.6136184044031953
350,FSPS/ALESS,0.5623413251903491,1.0,0.7527336145377459,15622,0.25810087249691327,-0.0649762562821718,0.5880348154858774
350,FSPS/ALESS,1.0,1.7782794100389228,1.329432750134401,15526,0.22625159611263795,-0.09756297533282002,0.5666594751730115
350,FSPS/ALESS,1.7782794100389228,3.1622776601683795,2.3221782401359397,13115,0.19566812198327024,-0.12511491808791148,0.5539252063038721
350,FSPS/ALESS,3.1622776601683795,5.623413251903491,4.054838988531216,8451,0.1531589753142571,-0.15102629382659583,0.5072250384192037
350,FSPS/ALESS,5.623413251903491,10.0,7.049097809872631,4037,0.10252113724122819,-0.15991751609615693,0.4843517831990427
