band_um,flux_cut_mjy,N_mbb_T20_per_deg2,N_mbb_T25_per_deg2,N_mbb_T30_per_deg2,N_mbb_T35_per_deg2,N_mbb_T40_per_deg2,N_mbb_T45_per_deg2,N_mbb_T50_per_deg2
250,10,10550.860719874805,9748.826291079811,7507.042253521126,5062.597809076682,3164.319248826291,1850.547730829421,1080.5946791862284
250,20,3999.2175273865414,3102.5039123630672,1982.7856025039123,1112.676056338028,607.1987480438185,327.8560250391236,176.83881064162753
250,50,631.4553990610328,349.76525821596243,175.27386541471049,93.11424100156495,52.425665101721435,26.604068857589983,17.214397496087635
250,100,112.67605633802816,55.55555555555556,33.64632237871675,17.214397496087635,10.172143974960877,4.694835680751174,3.1298904538341157
350,10,13207.35524256651,8819.24882629108,4977.308294209703,2557.902973395931,1237.0892018779343,581.377151799687,280.1251956181534
350,20,4692.488262910798,2460.093896713615,1105.6338028169014,493.74021909233176,211.26760563380282,104.06885758998435,41.47104851330204
350,50,580.5946791862285,241.78403755868544,98.59154929577464,39.906103286384976,19.561815336463223,10.172143974960877,3.912363067292645
350,100,86.07198748043818,39.906103286384976,17.214397496087635,8.607198748043817,3.1298904538341157,0.7824726134585289,0.7824726134585289
500,10,10296.557120500782,4629.107981220657,1861.5023474178404,696.4006259780907,252.73865414710485,102.50391236306729,36.77621283255086
500,20,3165.1017214397493,1080.5946791862284,357.58998435054775,126.76056338028168,36.77621283255086,15.64945226917058,7.04225352112676
500,50,335.6807511737089,105.63380281690141,27.386541471048513,11.737089201877934,3.912363067292645,0.7824726134585289,0.7824726134585289
500,100,52.425665101721435,17.214397496087635,7.04225352112676,1.5649452269170578,0.7824726134585289,0.7824726134585289,0.7824726134585289
