band_um,population,flux_cut_mjy,area_name,area_deg2,N_positive_flux_ge_cut,N_snr3_flux_ge_cut,N_snr5_flux_ge_cut,N_positive_per_deg2,N_snr3_per_deg2,N_snr5_per_deg2,snr3_fraction_of_flux_cut
500,all_wang_prior_rows,50,wang_farmer_flag_combined0,1.278,1,1,0,0.7824726134585289,0.7824726134585289,0.0,1.0
500,all_wang_prior_rows,50,old_full_cosmos_approx,2.0,1,1,0,0.5,0.5,0.0,1.0
500,all_wang_prior_rows,100,wang_farmer_flag_combined0,1.278,0,0,0,0.0,0.0,0.0,
500,all_wang_prior_rows,100,old_full_cosmos_approx,2.0,0,0,0,0.0,0.0,0.0,
500,positive_cosmos2020_ids_only,5,wang_farmer_flag_combined0,1.278,2866,1646,750,2242.566510172144,1287.9499217527386,586.8544600938967,0.5743196092114445
500,positive_cosmos2020_ids_only,5,old_full_cosmos_approx,2.0,2866,1646,750,1433.0,823.0,375.0,0.5743196092114445
500,positive_cosmos2020_ids_only,10,wang_farmer_flag_combined0,1.278,1019,860,599,797.339593114241,672.9264475743349,468.70109546165884,0.8439646712463199
500,positive_cosmos2020_ids_only,10,old_full_cosmos_approx,2.0,1019,860,599,509.5,430.0,299.5,0.8439646712463199
500,positive_cosmos2020_ids_only,20,wang_farmer_flag_combined0,1.278,147,144,129,115.02347417840376,112.67605633802816,100.93896713615024,0.9795918367346939
500,positive_cosmos2020_ids_only,20,old_full_cosmos_approx,2.0,147,144,129,73.5,72.0,64.5,0.9795918367346939
500,positive_cosmos2020_ids_only,50,wang_farmer_flag_combined0,1.278,1,1,0,0.7824726134585289,0.7824726134585289,0.0,1.0
500,positive_cosmos2020_ids_only,50,old_full_cosmos_approx,2.0,1,1,0,0.5,0.5,0.0,1.0
500,positive_cosmos2020_ids_only,100,wang_farmer_flag_combined0,1.278,0,0,0,0.0,0.0,0.0,
500,positive_cosmos2020_ids_only,100,old_full_cosmos_approx,2.0,0,0,0,0.0,0.0,0.0,
850,all_wang_prior_rows,5,wang_farmer_flag_combined0,1.278,203,196,166,158.84194053208137,153.36463223787166,129.89045383411582,0.9655172413793104
850,all_wang_prior_rows,5,old_full_cosmos_approx,2.0,203,196,166,101.5,98.0,83.0,0.9655172413793104
850,all_wang_prior_rows,10,wang_farmer_flag_combined0,1.278,16,16,15,12.519561815336463,12.519561815336463,11.737089201877934,1.0
850,all_wang_prior_rows,10,old_full_cosmos_approx,2.0,16,16,15,8.0,8.0,7.5,1.0
850,all_wang_prior_rows,20,wang_farmer_flag_combined0,1.278,0,0,0,0.0,0.0,0.0,
850,all_wang_prior_rows,20,old_full_cosmos_approx,2.0,0,0,0,0.0,0.0,0.0,
850,all_wang_prior_rows,50,wang_farmer_flag_combined0,1.278,0,0,0,0.0,0.0,0.0,
850,all_wang_prior_rows,50,old_full_cosmos_approx,2.0,0,0,0,0.0,0.0,0.0,
850,all_wang_prior_rows,100,wang_farmer_flag_combined0,1.278,0,0,0,0.0,0.0,0.0,
850,all_wang_prior_rows,100,old_full_cosmos_approx,2.0,0,0,0,0.0,0.0,0.0,
850,positive_cosmos2020_ids_only,5,wang_farmer_flag_combined0,1.278,118,114,98,92.33176838810641,89.2018779342723,76.68231611893583,0.9661016949152542
850,positive_cosmos2020_ids_only,5,old_full_cosmos_approx,2.0,118,114,98,59.0,57.0,49.0,0.9661016949152542
850,positive_cosmos2020_ids_only,10,wang_farmer_flag_combined0,1.278,9,9,9,7.04225352112676,7.04225352112676,7.04225352112676,1.0
850,positive_cosmos2020_ids_only,10,old_full_cosmos_approx,2.0,9,9,9,4.5,4.5,4.5,1.0
850,positive_cosmos2020_ids_only,20,wang_farmer_flag_combined0,1.278,0,0,0,0.0,0.0,0.0,
850,positive_cosmos2020_ids_only,20,old_full_cosmos_approx,2.0,0,0,0,0.0,0.0,0.0,
850,positive_cosmos2020_ids_only,50,wang_farmer_flag_combined0,1.278,0,0,0,0.0,0.0,0.0,
850,positive_cosmos2020_ids_only,50,old_full_cosmos_approx,2.0,0,0,0,0.0,0.0,0.0,
850,positive_cosmos2020_ids_only,100,wang_farmer_flag_combined0,1.278,0,0,0,0.0,0.0,0.0,
850,positive_cosmos2020_ids_only,100,old_full_cosmos_approx,2.0,0,0,0,0.0,0.0,0.0,
